Title,Film
"The Borrowers (1952), Mary Norton",The Borrowers (1973) (TV)The Borrowers (1997)The Borrower Arrietty (2010)
"The Bostonians (1885–1886) (serial), (1886) (novel), Henry James",The Bostonians (1984)
"Bourne (1980–2012) (series), Robert Ludlum and  Eric Van LustbaderThe Bourne Identity (1980)* The Bourne Supremacy (1986)** The Bourne Ultimatum (1990)*** The Bourne Legacy (2004)",The Bourne Identity (1988) (TV)Bourne (2002–present) (series)The Bourne Identity (2002)* The Bourne Supremacy (2004)** The Bourne Ultimatum (2007)*** The Bourne Legacy (2012)
"The Boy in the Striped Pyjamas (2006), John Boyne",The Boy in the Striped Pyjamas (2008)
"Boy on a Dolphin (1955), David Divine",Boy on a Dolphin (1957)
"The Boys from Brazil (1976), Ira Levin",The Boys from Brazil (1978)
"The Bravados (1958), Frank O'Rourke",The Bravados (1958)
"The Brave Bulls (1949), Thomas C. Lea III",The Brave Bulls (1951)
"The Brave Cowboy (1956), Edward Abbey",Lonely Are the Brave (1962)
"The Brave Little Toaster: A Bedtime Story for Small Appliances (1980) Thomas M. Disch* The Brave Little Toaster Goes to Mars (1988), Thomas M. Disch",The Brave Little Toaster (1987)* The Brave Little Toaster Goes to Mars (1998)** The Brave Little Toaster to the Rescue (1999)
"Brave New World (1932), Aldous Huxley",Brave New World (1980)Brave New World (1998)Brave New World (TBA 2011)
"Breakfast of Champions (1973), Kurt Vonnegut, Jr.",Breakfast of Champions (1999)
"Breakfast on Pluto (1998), Patrick McCabe",Breakfast on Pluto (2005)
"Breakfast with Scot (1999), Michael Downing",Breakfast with Scot (2007)
"Breakheart Pass (1974), Alistair MacLean",Breakheart Pass (1975)
"Breaking Smith's Quarter Horse (1963), Paul St. Pierre",Smith! (1969)
"The Bride Wore Black (1940), Cornell Woolrich",The Bride Wore Black (1967)
"Brideshead Revisited, The Sacred & Profane Memories of Captain Charles Ryder (1945), Evelyn Waugh",Brideshead Revisited (1981) (TV) (serial)Brideshead Revisited (2008)
"The Bridge of San Luis Rey (1927), Thornton Wilder",The Bridge of San Luis Rey (1929)The Bridge of San Luis Rey (1944)The Bridge of San Luis Rey (2004)
"Bridge to Terabithia (1977), Katherine Paterson",Bridge to Terabithia (1985) (TV)Bridge to Terabithia (2007)
