Author,Title,ID
,"Hellboy, Vol. 1: Seed of Destruction",102458
,Sex and the City,7455
,Fantastic Mr. Fox,6693
,"Casino Royale (James Bond, #1)",3758
,The Little Prince,578618
,Not Without My Daughter,43255
,Avatar: The Last Airbender (The Art of the Animated Series),7642606
,The Funhouse,11166889
,Moll Flanders,38262
,"Sahara (Dirk Pitt, #11)",41716
,The Jane Austen Book Club,2152
,"Miss Peregrine's Home for Peculiar Children (Miss Peregrine's Peculiar Children, #1)",9460487
,"Warm Bodies (Warm Bodies, #1)",15842439
,Horns,6587879
,The Pact,10916
,Safe Haven,7812659
,A River Runs Through It and Other Stories,30043
,"Tai-Pan (Asian Saga, #2)",42933
,Sophie's Choice,228560
,"The Lost Symbol (Robert Langdon, #3)",6411961
,Ghost World,62953
,The Girl on the Train,22557272
,"Forever in Blue: The Fourth Summer of the Sisterhood (Sisterhood, #4)",5453
,Prozac Nation,227603
,The Club Dumas,7194
,The Legend of Sleepy Hollow,93261
,Lost Horizon,2978
,Thank You for Smoking,40465
,The Wild Things,6387925
,The Silver Linings Playbook,13539044
,"The Tale of the Body Thief (The Vampire Chronicles, #4)",31336
,"The Vampire Armand (The Vampire Chronicles, #6)",31332
,Montana Sky,7172266
,Primal Fear,187650
,Scarlett,73062
,Phantoms,32435
,Les Liaisons dangereuses,49540
,Gulliver's Travels,7733
,"The 5th Wave (The 5th Wave, #1)",16101128
,"Ring (Ring, #1)",38379
,"Me Before You (Me Before You, #1)",15507958
,Eaters of the Dead,7673
,The Heart Is a Lonely Hunter,37380
,Veronika Decides to Die,1431
,The Prince of Thieves (Tales of Robin Hood by Alexandre Dumas #1),388223
,The Constant Gardener,19000
,The Sheltering Sky,243598
,The Good German,147326
,"Good in Bed (Cannie Shapiro, #1)",14748
,"A Girl of the Limberlost (Limberlost, #2)",17567
,"A Girl of the Limberlost (Limberlost, #2)",17567
,Summer of the Monkeys,10372
,Norwegian Wood,11297
,The Invention of Hugo Cabret,9673436
,Smiley's People,18999
,Charly,411449
,"Daddy-Long-Legs (Daddy-Long-Legs, #1)",1499952
,Jude the Obscure,50798
,The Quiet American,3698
,I Capture the Castle,31122
,Exodus,42697
,The Body,11574
,"Fifty Shades of Grey (Fifty Shades, #1)",10818853
,"If I Stay (If I Stay, #1)",4374400
,The Phantom Tollbooth,378
,The Basketball Diaries,682745
,Seven Years in Tibet,270032
,The Rules of Attraction,9912
,"The Deep End of the Ocean (Cappadora Family, #1)",5161
,The Hunchback of Notre-Dame,30597
,"Allegiant (Divergent, #3)",18710190
,"The Celestine Prophecy (Celestine Prophecy, #1)",13103
,Snow Flower and the Secret Fan,1103
,"The Last Wish (The Witcher, #1)",1128434
,Candy,29488
,For Whom the Bell Tolls,46170
,White Fang,43035
,A Year in Provence,40189
,The Witches of Eastwick (Eastwick #1),217518
,"The Black Stallion (The Black Stallion, #1)",272895
,Blue Smoke,114184
,Just Listen,51738
,A Simple Plan,21727
,In the Time of the Butterflies,11206
,"Gorky Park (Arkady Renko, #1)",762806
,Intensity,32439
