The Blank Wall ,"1947), Elisabeth Sanxay Holding",,,,,,,,,,,,,,,,,,,,,,,,,,
Blaze of Noon ,"1946), Ernest K. Gann",,,,,,,,,,,,,,,,,,,,,,,,,,
Le Blé en herbe ,"1923), Colette",,,,,,,,,,,,,,,,,,,,,,,,,,
Bleak House ,1852–1853) ,"serial), ",1853) ,"novel), Charles Dickens",,,,,,,,,,,,,,,,,,,,,,,
Bless the Beasts and Children ,"1970), Glendon Swarthout",,,,,,,,,,,,,,,,,,,,,,,,,,
Bless the Child ,"1993), Cathy Cash Spellman",,,,,,,,,,,,,,,,,,,,,,,,,,
The Blessing ,"1951), Nancy Mitford",,,,,,,,,,,,,,,,,,,,,,,,,,
Blood and Chocolate ,"1997), Annette Curtis Klause",,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Brother ,"1947), Elliott Arnold",,,,,,,,,,,,,,,,,,,,,,,,,,
Blood on the Moon ,1941) ,"a.k.a. Gunman's Chance), Luke Short",,,,,,,,,,,,,,,,,,,,,,,,,
Blood on the Moon ,"1984), James Ellroy",,,,,,,,,,,,,,,,,,,,,,,,,,
The Blood Oranges ,"1970), John Hawkes",,,,,,,,,,,,,,,,,,,,,,,,,,
Blood Work ,"1998), Michael Connelly",,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Fin ,"1969), Colin Thiele",,,,,,,,,,,,,,,,,,,,,,,,,,
The Blue Lagoon ,"1908), Henry De Vere Stacpoole",,,,,,,,,,,,,,,,,,,,,,,,,,
Blueprint ,Blaupause) ,"1999), Charlotte Kerner",,,,,,,,,,,,,,,,,,,,,,,,,
The Body ,"1983), Richard Sapir",,,,,,,,,,,,,,,,,,,,,,,,,,
The Body Snatchers ,"1955), Jack Finney",,,,,,,,,,,,,,,,,,,,,,,,,,
Bombaiyer Bombete ,"1976), Satyajit Ray",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bonfire of the Vanities ,"1987), Tom Wolfe",,,,,,,,,,,,,,,,,,,,,,,,,,
Bonjour Tristesse ,Hello Sadness) ,"1954), Françoise Sagan",,,,,,,,,,,,,,,,,,,,,,,,,
Boogiepop and Others ,"1998), Kouhei Kadono",,,,,,,,,,,,,,,,,,,,,,,,,,
The Book of Daniel ,"1971), E. L. Doctorow",,,,,,,,,,,,,,,,,,,,,,,,,,
Das Boot ,The Boat) ,"1973), Lothar-Günther Buchheim",,,,,,,,,,,,,,,,,,,,,,,,,
The Border Jumpers ,"1955), Will C. Brown",,,,,,,,,,,,,,,,,,,,,,,,,,
The Border Legion ,"1916), Zane Grey",,,,,,,,,,,,,,,,,,,,,,,,,,
Border Town ,"1934), Carroll Graham",,,,,,,,,,,,,,,,,,,,,,,,,,
The Borrowers ,"1952), Mary Norton",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bostonians ,1885–1886) ,"serial), ",1886) ,"novel), Henry James",,,,,,,,,,,,,,,,,,,,,,,
Bourne ,1980–2012) ,"series), Robert Ludlum and  Eric Van LustbaderThe Bourne Identity ",1980)* The Bourne Supremacy ,1986)** The Bourne Ultimatum ,1990)*** The Bourne Legacy ,2004),,,,,,,,,,,,,,,,,,,,,
The Boy in the Striped Pyjamas ,"2006), John Boyne",,,,,,,,,,,,,,,,,,,,,,,,,,
Boy on a Dolphin ,"1955), David Divine",,,,,,,,,,,,,,,,,,,,,,,,,,
The Boys from Brazil ,"1976), Ira Levin",,,,,,,,,,,,,,,,,,,,,,,,,,
The Bravados ,"1958), Frank O'Rourke",,,,,,,,,,,,,,,,,,,,,,,,,,
The Brave Bulls ,"1949), Thomas C. Lea III",,,,,,,,,,,,,,,,,,,,,,,,,,
The Brave Cowboy ,"1956), Edward Abbey",,,,,,,,,,,,,,,,,,,,,,,,,,
